end,y,delta,delta_window,c_max_fa,c_max_re,c_max_fo,c_max,c_w_max,c_min_fa,c_min_re,c_min_fo,c_min,c_w_min,c_avg,c_w_avg,fa_avg,re_avg,fo_avg,c_med,c_big_c,c_big_fa,c_big_re,c_big_fo,c_small_c,c_small_fa,c_small_re,c_small_fo,fa_big_c,re_big_c,fo_big_c,c_max_fa_window,c_max_re_window,c_max_fo_window,c_max_window,c_w_max_window,c_min_fa_window,c_min_re_window,c_min_fo_window,c_min_window,c_w_min_window,c_avg_window,c_w_avg_window,fa_avg_window,re_avg_window,fo_avg_window,c_med_window,c_big_c_window,c_big_fa_window,c_big_re_window,c_big_fo_window,c_small_c_window,c_small_fa_window,c_small_re_window,c_small_fo_window,fa_big_c_window,re_big_c_window,fo_big_c_window
03011000,-12.3,1.8,24.6,0,0,481,0.7717,0.0,0,0,1206,-0.7173,-0.0,0.1294357142857143,0.12697616804994502,0.14285714285714285,48.642857142857146,18662.5,0.0644,0.055874999999999994,0.25,170.25,425.75,0.20525,0.25,0.0,62511.25,-0.03600093905445617,1.8496682308081427,-0.14567144305114246,0,0,2144,0.836,0.0,0,0,1992,-0.8015,-0.0,0.138024,0.4148572099474726,0.24,128.08,16744.36,0.24975,0.40088125,0.1875,395.875,3935.6875,-0.12466875000000001,0.1875,4.1875,47055.625,0.08713977893375663,1.3150891882029805,-0.027703708132437613
03011010,-21.1,-12.3,-10.5,12,2,3682,0.8126,4.14794263498257,0,0,190,-0.765,-0.0,0.06492499999999998,0.47062485042946217,0.9375,2.3125,2271.8125,0.0,0.53544,2.8,6.8,1328.8,0.10488,0.2,0.6,1127.4,1.000469436468337,1.9190156239951541,1.449742232339831,12,2,3682,0.8126,4.14794263498257,0,0,1992,-0.8015,-0.0,0.023448936170212757,0.28583731147774977,0.40425531914893614,58.87234042553192,17084.021276595744,0.0258,0.22012,1.0,183.86666666666667,2154.133333333333,-0.2127466666666667,0.26666666666666666,0.6,20863.133333333335,0.4433057231881189,1.4479156212119977,0.34756652250563075
03011020,-7.0,-21.1,-33.4,0,0,249235,0.8074,0.0,0,85,360,-0.5859,-2.8987365712105153,0.12367777777777778,-0.3974994152974445,0.3333333333333333,9.555555555555555,30994.666666666668,0.2103,0.3313333333333333,0.0,0.0,299.0,-0.28633333333333333,1.0,28.666666666666668,9172.333333333334,-0.3393790832332426,-1.6674867206262505,-0.22625272215549508,12,2,3682,0.8126,4.14794263498257,0,0,190,-0.765,-0.0,0.10164102564102565,0.14692741594599038,0.5128205128205128,20.615384615384617,14784.0,0.0772,0.39336153846153843,1.1538461538461537,55.0,678.4615384615385,-0.03003076923076923,0.38461538461538464,6.846153846153846,22262.53846153846,0.40638971266224383,0.8843938979337512,0.4605590171560076
03011030,-10.6,-7.0,-28.1,2,0,33708,0.9349,2.958732768152463,1,0,761,-0.5574,-0.7664483951767018,0.21306250000000002,0.38181849857245037,2.1666666666666665,657.25,21787.625,0.3506,0.3538875,6.125,1964.625,6403.625,-0.027262500000000002,0.375,7.125,761.25,1.9333796738802362,1.8949514732241364,1.1385516738538932,2,0,33708,0.9349,2.958732768152463,0,0,190,-0.765,-0.0,0.1482734693877551,0.26767646601904493,1.4285714285714286,324.42857142857144,17106.20408163265,0.2732,0.45046875,3.9375,984.4375,16953.25,-0.020593750000000008,0.4375,9.125,17825.25,1.1056638274927808,1.1920894947624663,0.9798978991289884
03011040,7.1,-10.6,-17.6,0,0,199988,0.6369,0.0,0,0,133,-0.7351,-0.0,0.18435263157894735,0.09773868390322804,0.5789473684210527,8.578947368421053,10912.157894736842,0.2944,0.47354999999999997,1.6666666666666667,3.5,960.0,-0.08196666666666666,0.16666666666666666,23.666666666666668,33440.5,0.6377697136934163,-0.36008462881065517,0.566256988416866,2,0,33708,0.9349,2.958732768152463,0,0,133,-0.7351,-0.0,0.18710192307692308,0.14313815811967576,1.2692307692307692,308.13461538461536,19407.423076923078,0.31720000000000004,0.3651,3.4705882352941178,925.7647058823529,15079.823529411764,-0.10553529411764706,0.4117647058823529,16.764705882352942,14368.35294117647,0.9067815676012465,0.2804493936401424,0.7248824670395846
03011050,-8.8,7.1,-3.5,0,0,31,0.8111,0.0,0,0,80,-0.4588,-0.0,0.32688333333333336,0.23496787913909237,0.6666666666666666,0.16666666666666666,706.5,0.4019,0.49039999999999995,2.0,0.5,1947.5,-0.11624999999999999,0.0,0.0,130.0,1.4098072748345543,1.4098072748345543,0.7049036374172771,2,0,33708,0.9349,2.958732768152463,0,0,133,-0.7351,-0.0,0.21586734693877552,0.253683392545606,1.3673469387755102,325.265306122449,14989.244897959185,0.3612,0.456475,3.9375,983.6875,16176.5,-0.003393750000000001,0.25,12.4375,28889.625,1.179085841137818,0.8388082947209421,0.8528199366123297
03011100,-3.5,-8.8,-1.8,0,0,249235,0.7559,0.0,0,1,373,-0.7783,-0.6028023216620925,0.17015,0.612722131272426,2.8333333333333335,839.4444444444445,29112.722222222223,0.3182,0.35938333333333333,8.333333333333334,2517.8333333333335,44395.666666666664,0.026133333333333352,0.16666666666666666,0.3333333333333333,41877.833333333336,1.1148873893996034,1.7847974372318223,0.7949873294463364,0,0,31,0.8111,0.0,0,1,373,-0.7783,-0.6028023216620925,0.1982953488372093,0.3324614100441757,1.5348837209302326,355.2093023255814,17106.95348837209,0.3182,0.4143857142857143,4.571428571428571,1080.7142857142858,20014.785714285714,-0.041142857142857134,0.14285714285714285,10.285714285714286,14433.0,0.8814522831448606,0.8488828273595329,0.8949791602338244
03011110,-38.8,-3.5,-12.3,8,3,359263,0.8689,6.280200545203148,0,0,152,-0.6249,-0.0,0.240485,0.5760361825605245,1.7,1.85,27964.75,0.28175,0.53535,3.3333333333333335,5.5,67177.0,0.13935,2.1666666666666665,0.6666666666666666,24713.5,1.5972526463313264,1.5447956320279947,1.9724897477102454,8,3,359263,0.8689,6.280200545203148,0,1,373,-0.7783,-0.6028023216620925,0.2234931818181818,0.5445347565670162,2.022727272727273,344.27272727272725,24717.340909090908,0.3291,0.4408714285714286,5.285714285714286,1081.5714285714287,48393.5,0.07847857142857143,1.0,0.42857142857142855,19063.0,1.3246779838052485,1.521329950692757,1.2062165055843026
03011120,1.8,-38.8,-42.4,0,0,703,0.9022,0.0,7,4,3508,-0.5423,-2.458471495793236,0.04738947368421053,0.034367915100297554,1.7894736842105263,36.36842105263158,14162.0,0.0772,0.31725,1.5,113.83333333333333,43276.833333333336,-0.40651666666666664,4.166666666666667,1.3333333333333333,1085.5,-0.1830592375655119,0.13582752603496234,0.07527816762486605,0,0,703,0.9022,0.0,0,1,373,-0.7783,-0.6028023216620925,0.15390877192982455,0.4070651298424528,2.087719298245614,277.859649122807,23726.35087719298,0.2023,0.4038842105263158,4.157894736842105,832.8421052631579,49155.31578947369,-0.12857894736842104,2.0526315789473686,0.7368421052631579,8234.052631578947,0.790269328741017,1.1598939940216562,0.8383627794260462
03011130,8.9,1.8,-37.1,0,0,6681,0.9574,0.0,1,0,18229,-0.8397,-1.7070361068464048,0.34077142857142856,0.4676103781801586,0.42857142857142855,12.428571428571429,14281.714285714286,0.5965,0.7931571428571429,1.1428571428571428,28.571428571428573,37984.42857142857,0.11071428571428572,0.14285714285714285,8.714285714285714,4156.428571428572,1.444110401144753,1.316415325006266,0.7953883163355051,0,0,6681,0.9574,0.0,1,0,18229,-0.8397,-1.7070361068464048,0.21443833333333334,0.36655886633165796,1.2833333333333334,16.483333333333334,18804.816666666666,0.31720000000000004,0.541915,1.9,45.8,47088.1,-0.14545999999999998,1.95,3.65,2157.2,0.7646820832421662,1.1192347747853928,0.8267378720906112
